epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
106,1.309,1.711,1.324,0.421,0.565,0.446,0.306
107,1.308,1.710,1.323,0.419,0.571,0.446,0.306
108,1.310,1.714,1.325,0.418,0.570,0.447,0.306
109,1.306,1.713,1.325,0.416,0.572,0.447,0.307
110,1.308,1.710,1.322,0.415,0.578,0.447,0.308
111,1.308,1.712,1.324,0.417,0.578,0.448,0.308
112,1.308,1.711,1.323,0.416,0.578,0.448,0.308
113,1.307,1.706,1.322,0.418,0.574,0.448,0.308
114,1.309,1.712,1.324,0.418,0.569,0.448,0.308
115,1.307,1.707,1.322,0.417,0.571,0.448,0.309
116,1.307,1.708,1.321,0.418,0.573,0.448,0.308
117,1.304,1.707,1.320,0.417,0.573,0.448,0.308
118,1.308,1.706,1.321,0.418,0.573,0.447,0.308
119,1.304,1.703,1.319,0.419,0.568,0.448,0.308
120,1.306,1.706,1.321,0.420,0.565,0.448,0.308
121,1.307,1.704,1.321,0.416,0.577,0.448,0.309
122,1.304,1.704,1.320,0.416,0.582,0.448,0.308
123,1.306,1.705,1.320,0.415,0.580,0.448,0.309
124,1.305,1.702,1.320,0.417,0.568,0.448,0.309
125,1.305,1.705,1.319,0.417,0.570,0.449,0.309
126,1.303,1.702,1.319,0.421,0.568,0.449,0.309
127,1.304,1.700,1.319,0.421,0.565,0.450,0.309
128,1.304,1.695,1.317,0.419,0.568,0.450,0.310
129,1.304,1.697,1.319,0.418,0.569,0.451,0.310
130,1.304,1.699,1.318,0.419,0.568,0.451,0.311
131,1.303,1.696,1.318,0.419,0.572,0.451,0.311
132,1.303,1.695,1.318,0.421,0.568,0.451,0.311
133,1.302,1.695,1.316,0.422,0.567,0.451,0.311
134,1.301,1.691,1.316,0.424,0.560,0.450,0.311
135,1.303,1.696,1.319,0.424,0.558,0.451,0.311
136,1.301,1.691,1.315,0.421,0.573,0.452,0.311
137,1.299,1.690,1.316,0.423,0.563,0.452,0.311
138,1.304,1.695,1.318,0.418,0.574,0.452,0.311
139,1.303,1.693,1.317,0.420,0.572,0.453,0.311
140,1.302,1.693,1.318,0.425,0.571,0.454,0.312
141,1.297,1.687,1.315,0.427,0.569,0.454,0.312
142,1.300,1.685,1.315,0.430,0.559,0.455,0.313
143,1.300,1.690,1.315,0.431,0.557,0.455,0.313
144,1.297,1.684,1.314,0.430,0.560,0.455,0.313
145,1.299,1.687,1.314,0.429,0.560,0.455,0.313
146,1.296,1.684,1.313,0.430,0.559,0.455,0.313
147,1.296,1.685,1.313,0.428,0.561,0.455,0.313
148,1.297,1.683,1.313,0.426,0.564,0.455,0.313
149,1.301,1.680,1.314,0.425,0.566,0.456,0.313
150,1.297,1.680,1.312,0.425,0.566,0.455,0.314
151,1.298,1.683,1.313,0.423,0.572,0.456,0.314
152,1.298,1.683,1.312,0.423,0.570,0.456,0.314
153,1.296,1.681,1.311,0.421,0.575,0.456,0.314
154,1.297,1.682,1.312,0.423,0.574,0.457,0.315
155,1.300,1.687,1.313,0.423,0.574,0.457,0.315
156,1.298,1.677,1.312,0.426,0.567,0.456,0.314
157,1.297,1.680,1.312,0.424,0.567,0.456,0.314
158,1.297,1.678,1.311,0.423,0.570,0.457,0.314
159,1.297,1.678,1.311,0.424,0.573,0.457,0.315
160,1.295,1.673,1.311,0.423,0.576,0.457,0.315
161,1.296,1.679,1.312,0.422,0.578,0.457,0.315
162,1.294,1.674,1.312,0.424,0.574,0.458,0.316
163,1.294,1.675,1.310,0.423,0.573,0.457,0.315
164,1.294,1.675,1.311,0.419,0.580,0.457,0.315
165,1.292,1.675,1.310,0.426,0.567,0.457,0.315
166,1.296,1.675,1.311,0.424,0.571,0.457,0.315
167,1.294,1.668,1.310,0.423,0.568,0.457,0.315
168,1.292,1.672,1.309,0.424,0.572,0.457,0.315
169,1.292,1.674,1.311,0.424,0.572,0.457,0.316
170,1.291,1.670,1.309,0.425,0.575,0.458,0.316
171,1.293,1.669,1.310,0.424,0.575,0.458,0.316
172,1.291,1.670,1.310,0.426,0.572,0.458,0.316
173,1.292,1.671,1.310,0.427,0.568,0.459,0.316
174,1.290,1.665,1.307,0.429,0.565,0.459,0.316
175,1.290,1.666,1.309,0.426,0.572,0.459,0.317
176,1.292,1.666,1.308,0.430,0.568,0.459,0.317
177,1.291,1.668,1.307,0.434,0.563,0.459,0.316
178,1.291,1.665,1.307,0.433,0.568,0.460,0.316
179,1.292,1.663,1.306,0.433,0.567,0.459,0.316
180,1.289,1.664,1.306,0.431,0.566,0.460,0.316
181,1.290,1.664,1.306,0.432,0.567,0.460,0.317
182,1.291,1.663,1.306,0.432,0.569,0.461,0.317
183,1.291,1.662,1.307,0.428,0.574,0.461,0.317
184,1.290,1.662,1.306,0.432,0.568,0.462,0.318
185,1.289,1.660,1.307,0.430,0.572,0.462,0.318
186,1.287,1.657,1.304,0.430,0.570,0.461,0.318
187,1.289,1.661,1.305,0.432,0.567,0.461,0.318
188,1.289,1.657,1.304,0.431,0.574,0.462,0.318
189,1.288,1.657,1.304,0.429,0.584,0.462,0.318
190,1.289,1.660,1.305,0.429,0.582,0.462,0.319
191,1.286,1.660,1.304,0.429,0.581,0.463,0.320
192,1.287,1.660,1.304,0.429,0.580,0.462,0.319
193,1.287,1.657,1.305,0.428,0.582,0.462,0.319
194,1.285,1.651,1.304,0.432,0.578,0.462,0.320
195,1.287,1.654,1.304,0.431,0.579,0.462,0.320
196,1.287,1.656,1.303,0.432,0.581,0.463,0.321
197,1.283,1.650,1.301,0.430,0.582,0.462,0.320
198,1.287,1.655,1.303,0.427,0.589,0.463,0.320
199,1.287,1.655,1.305,0.428,0.586,0.463,0.320
200,1.288,1.651,1.303,0.431,0.583,0.464,0.321
201,1.285,1.651,1.303,0.429,0.591,0.464,0.321
202,1.287,1.654,1.303,0.428,0.589,0.465,0.321
203,1.284,1.656,1.304,0.428,0.591,0.465,0.321
204,1.285,1.648,1.301,0.428,0.592,0.465,0.321
205,1.286,1.651,1.304,0.429,0.589,0.465,0.321
206,1.286,1.646,1.301,0.430,0.587,0.465,0.321
207,1.287,1.651,1.303,0.429,0.586,0.465,0.322
208,1.283,1.647,1.300,0.428,0.589,0.465,0.322
209,1.283,1.650,1.301,0.432,0.575,0.465,0.322
210,1.285,1.647,1.302,0.432,0.577,0.465,0.322
211,1.282,1.643,1.299,0.435,0.570,0.465,0.322
212,1.279,1.640,1.298,0.436,0.574,0.465,0.322
213,1.282,1.642,1.300,0.438,0.570,0.466,0.322
214,1.284,1.645,1.301,0.439,0.568,0.466,0.322
215,1.286,1.646,1.302,0.436,0.572,0.466,0.323
216,1.283,1.642,1.301,0.434,0.575,0.466,0.323
217,1.283,1.642,1.299,0.434,0.576,0.467,0.323
218,1.281,1.642,1.299,0.435,0.573,0.466,0.323
219,1.281,1.637,1.297,0.436,0.575,0.467,0.323
220,1.281,1.637,1.298,0.435,0.580,0.467,0.323
221,1.281,1.645,1.300,0.433,0.579,0.466,0.323
